"Celda","CP1","CP2","CP3","CP4"
14166,28649,0,0,0
14167,28649,0,0,0
14667,28649,0,0,0
17149,28650,0,0,0
17649,28650,0,0,0
17650,28650,0,0,0
18148,28650,0,0,0
18149,28650,0,0,0
18150,28650,0,0,0
18170,28648,28649,0,0
18648,28650,0,0,0
18649,28650,0,0,0
18650,28650,0,0,0
19149,28650,0,0,0
19151,28650,0,0,0
19169,28648,0,0,0
21164,28640,0,0,0
21663,28640,0,0,0
21664,28640,0,0,0
21665,28640,0,0,0
22163,28640,0,0,0
22164,28640,0,0,0
22663,28640,0,0,0
22664,28640,0,0,0
22665,28640,0,0,0
23163,28640,0,0,0
23164,28640,0,0,0
23663,28640,0,0,0
23664,28640,0,0,0
23665,28640,0,0,0
24165,28640,0,0,0
24169,28640,0,0,0
26201,28680,0,0,0
27660,28640,0,0,0
27687,28680,0,0,0
27688,28680,0,0,0
28186,28680,0,0,0
28187,28680,0,0,0
28188,28680,0,0,0
28189,28680,0,0,0
28687,28680,0,0,0
28688,28680,0,0,0
28689,28680,0,0,0
28690,28680,0,0,0
29186,28680,0,0,0
29187,28680,0,0,0
29188,28680,0,0,0
29189,28680,0,0,0
29191,28680,0,0,0
29669,28640,0,0,0
29686,28680,0,0,0
29687,28680,0,0,0
29688,28680,0,0,0
29689,28680,0,0,0
29690,28680,0,0,0
29694,28680,0,0,0
30187,28680,0,0,0
30188,28680,0,0,0
30189,28680,0,0,0
30669,28640,0,0,0
30686,28680,0,0,0
30687,28680,0,0,0
30688,28680,0,0,0
30689,28680,0,0,0
30690,28680,0,0,0
30699,28680,0,0,0
31669,28640,0,0,0
31686,28680,0,0,0
31703,28680,0,0,0
32199,28680,0,0,0
32202,28680,0,0,0
32204,28680,0,0,0
32205,28680,0,0,0
32686,28680,0,0,0
33186,28680,0,0,0
33199,28680,0,0,0
33699,28680,0,0,0
35699,28680,0,0,0
36654,28630,0,0,0
36657,28630,0,0,0
36658,28630,0,0,0
36659,28630,0,0,0
36697,28680,0,0,0
37154,28630,0,0,0
37155,28630,0,0,0
37655,28630,0,0,0
37691,28680,0,0,0
38150,28630,0,0,0
38154,28630,0,0,0
38685,28696,0,0,0
38688,28696,28680,0,0
38689,28696,28680,0,0
38690,28680,0,0,0
38692,28680,0,0,0
39150,28630,0,0,0
39152,28630,0,0,0
39153,28630,0,0,0
39186,28696,0,0,0
39187,28696,0,0,0
39188,28696,0,0,0
39189,28696,28680,0,0
39687,28696,0,0,0
39688,28696,0,0,0
39691,28696,28680,0,0
40185,28696,0,0,0
40186,28696,0,0,0
40187,28696,0,0,0
40188,28696,0,0,0
40685,28696,0,0,0
