"Celda","i","j","xmin","ymin","xmax","ymax"
14166,29,166,-4.4935486464,40.307364451,-4.4904966052,40.3099267604
14167,29,167,-4.4935486464,40.3099267604,-4.4904966052,40.3124890698
14667,30,167,-4.4904966052,40.3099267604,-4.487444564,40.3124890698
17149,35,149,-4.4752363992,40.2638051912,-4.472184358,40.2663675006
17649,36,149,-4.472184358,40.2638051912,-4.4691323168,40.2663675006
17650,36,150,-4.472184358,40.2663675006,-4.4691323168,40.26892981
18148,37,148,-4.4691323168,40.2612428818,-4.4660802756,40.2638051912
18149,37,149,-4.4691323168,40.2638051912,-4.4660802756,40.2663675006
18150,37,150,-4.4691323168,40.2663675006,-4.4660802756,40.26892981
18170,37,170,-4.4691323168,40.3176136886,-4.4660802756,40.320175998
18648,38,148,-4.4660802756,40.2612428818,-4.4630282344,40.2638051912
18649,38,149,-4.4660802756,40.2638051912,-4.4630282344,40.2663675006
18650,38,150,-4.4660802756,40.2663675006,-4.4630282344,40.26892981
19149,39,149,-4.4630282344,40.2638051912,-4.4599761932,40.2663675006
19151,39,151,-4.4630282344,40.26892981,-4.4599761932,40.2714921194
19169,39,169,-4.4630282344,40.3150513792,-4.4599761932,40.3176136886
21164,43,164,-4.4508200696,40.3022398322,-4.4477680284,40.3048021416
21663,44,163,-4.4477680284,40.2996775228,-4.4447159872,40.3022398322
21664,44,164,-4.4477680284,40.3022398322,-4.4447159872,40.3048021416
21665,44,165,-4.4477680284,40.3048021416,-4.4447159872,40.307364451
22163,45,163,-4.4447159872,40.2996775228,-4.441663946,40.3022398322
22164,45,164,-4.4447159872,40.3022398322,-4.441663946,40.3048021416
22663,46,163,-4.441663946,40.2996775228,-4.4386119048,40.3022398322
22664,46,164,-4.441663946,40.3022398322,-4.4386119048,40.3048021416
22665,46,165,-4.441663946,40.3048021416,-4.4386119048,40.307364451
23163,47,163,-4.4386119048,40.2996775228,-4.4355598636,40.3022398322
23164,47,164,-4.4386119048,40.3022398322,-4.4355598636,40.3048021416
23663,48,163,-4.4355598636,40.2996775228,-4.4325078224,40.3022398322
23664,48,164,-4.4355598636,40.3022398322,-4.4325078224,40.3048021416
23665,48,165,-4.4355598636,40.3048021416,-4.4325078224,40.307364451
24165,49,165,-4.4325078224,40.3048021416,-4.4294557812,40.307364451
24169,49,169,-4.4325078224,40.3150513792,-4.4294557812,40.3176136886
26201,53,201,-4.4202996576,40.39704528,-4.4172476164,40.3996075894
27660,56,160,-4.411143534,40.2919905946,-4.4080914928,40.294552904
27687,56,187,-4.411143534,40.3611729484,-4.4080914928,40.3637352578
27688,56,188,-4.411143534,40.3637352578,-4.4080914928,40.3662975672
28186,57,186,-4.4080914928,40.358610639,-4.4050394516,40.3611729484
28187,57,187,-4.4080914928,40.3611729484,-4.4050394516,40.3637352578
28188,57,188,-4.4080914928,40.3637352578,-4.4050394516,40.3662975672
28189,57,189,-4.4080914928,40.3662975672,-4.4050394516,40.3688598766
28687,58,187,-4.4050394516,40.3611729484,-4.4019874104,40.3637352578
28688,58,188,-4.4050394516,40.3637352578,-4.4019874104,40.3662975672
28689,58,189,-4.4050394516,40.3662975672,-4.4019874104,40.3688598766
28690,58,190,-4.4050394516,40.3688598766,-4.4019874104,40.371422186
29186,59,186,-4.4019874104,40.358610639,-4.3989353692,40.3611729484
29187,59,187,-4.4019874104,40.3611729484,-4.3989353692,40.3637352578
29188,59,188,-4.4019874104,40.3637352578,-4.3989353692,40.3662975672
29189,59,189,-4.4019874104,40.3662975672,-4.3989353692,40.3688598766
29191,59,191,-4.4019874104,40.371422186,-4.3989353692,40.3739844954
29669,60,169,-4.3989353692,40.3150513792,-4.395883328,40.3176136886
29686,60,186,-4.3989353692,40.358610639,-4.395883328,40.3611729484
29687,60,187,-4.3989353692,40.3611729484,-4.395883328,40.3637352578
29688,60,188,-4.3989353692,40.3637352578,-4.395883328,40.3662975672
29689,60,189,-4.3989353692,40.3662975672,-4.395883328,40.3688598766
29690,60,190,-4.3989353692,40.3688598766,-4.395883328,40.371422186
29694,60,194,-4.3989353692,40.3791091142,-4.395883328,40.3816714236
30187,61,187,-4.395883328,40.3611729484,-4.3928312868,40.3637352578
30188,61,188,-4.395883328,40.3637352578,-4.3928312868,40.3662975672
30189,61,189,-4.395883328,40.3662975672,-4.3928312868,40.3688598766
30669,62,169,-4.3928312868,40.3150513792,-4.3897792456,40.3176136886
30686,62,186,-4.3928312868,40.358610639,-4.3897792456,40.3611729484
30687,62,187,-4.3928312868,40.3611729484,-4.3897792456,40.3637352578
30688,62,188,-4.3928312868,40.3637352578,-4.3897792456,40.3662975672
30689,62,189,-4.3928312868,40.3662975672,-4.3897792456,40.3688598766
30690,62,190,-4.3928312868,40.3688598766,-4.3897792456,40.371422186
30699,62,199,-4.3928312868,40.3919206612,-4.3897792456,40.3944829706
31669,64,169,-4.3867272044,40.3150513792,-4.3836751632,40.3176136886
31686,64,186,-4.3867272044,40.358610639,-4.3836751632,40.3611729484
31703,64,203,-4.3867272044,40.4021698988,-4.3836751632,40.4047322082
32199,65,199,-4.3836751632,40.3919206612,-4.380623122,40.3944829706
32202,65,202,-4.3836751632,40.3996075894,-4.380623122,40.4021698988
32204,65,204,-4.3836751632,40.4047322082,-4.380623122,40.4072945176
32205,65,205,-4.3836751632,40.4072945176,-4.380623122,40.409856827
32686,66,186,-4.380623122,40.358610639,-4.3775710808,40.3611729484
33186,67,186,-4.3775710808,40.358610639,-4.3745190396,40.3611729484
33199,67,199,-4.3775710808,40.3919206612,-4.3745190396,40.3944829706
33699,68,199,-4.3745190396,40.3919206612,-4.3714669984,40.3944829706
35699,72,199,-4.3623108748,40.3919206612,-4.3592588336,40.3944829706
36654,74,154,-4.3562067924,40.2766167382,-4.3531547512,40.2791790476
36657,74,157,-4.3562067924,40.2843036664,-4.3531547512,40.2868659758
