"Celda","Auto Competencia","Misma Actividad","Compatibles","Incompatibles"
14166,0,0,0,0
14167,0,0,0,0
14667,0,0,0.125,0
17149,0,0,0,0
17649,0,0,0,0
17650,0,0,0,0
18148,0,0,0,0
18149,0,0,0.130434782608696,0
18150,0,0,0,0
18170,0,0,0,0
18648,0,0,0,0
18649,0,0,0.0714285714285714,0
18650,0,0,0,0
19149,0,0,0,0
19151,0,0,0,0
19169,0,0,0,0
21164,0,0,0,0
21663,0,0,0,0
21664,0,0,0,0
21665,0,0,0,0
22163,0,0,0,0
22164,0,0,0,0
22663,0,0,0,0
22664,0,0,0,0
22665,0,0,0,0
23163,0,0,0,0
23164,0,0,0,0
23663,0,0,0,0
23664,0,0,0,0
23665,0,0,0,0
24165,0,0,0,0
24169,0,0,0,0
26201,0,0,0,0
27660,0,0,0,0
27687,0,0,0,0
27688,0,0,0,0
28186,0,0,0.5,0
28187,0,0,0.0303030303030303,0
28188,0,0,0,0
28189,0,0,0,0
28687,0,0,0,0
28688,0,0,0,0
28689,0,0,0.142857142857143,0
28690,0,0,0,0
29186,0,0,0,0
29187,0,0,0,0
29188,0,0,0,0
29189,0,0,0,0
29191,0,0,0,0
29669,0,0,0,0
29686,0,0,0.333333333333333,0
29687,0,0,0,0
29688,0,0,0,0
29689,0,0,0,0
29690,0,0,0.2,0
29694,0,0,0,0
30187,0,0,0.0384615384615385,0
30188,0,0,0,0
30189,0,0,0,0
30669,0,0,0,0
30686,0,0,0,0
30687,0,0,0,0
30688,0,0,0,0
30689,0,0,0,0
30690,0,0,0,0
30699,0,0,0,0
31669,0,0,0,0
31686,0,0,0,0
31703,0,0,0,0
32199,0,0,0,0
32202,0,0,0,0
32204,0,0,0,0
32205,0,0,0,0
32686,0,0,0,0
33186,0,0,0,0
33199,0,0,0,0
33699,0,0,0,0
35699,0,0,0,0
36654,0,0,0,0
36657,0,0,0,0
36658,0,0,0.5,0
36659,0,0,0,0
36697,0,0,0,0
37154,0,0,0,0
37155,0,0,0,0
37655,0,0,0,0
37691,0,0,1,0
38150,0,0,0,0
38154,0,0,0,0
38685,0,0,0,0
38688,0,0,0,0
38689,0,0,0,0
38690,0,0,1,0
38692,0,0,0,0
39150,0,0,0,0
39152,0,0,0,0
39153,0,0,0,0
39186,0,0,0,0
39187,0,0,0,0
39188,0,0,0,0
39189,0,0,0,0
39687,0,0,0,0
39688,0,0,1,0
39691,0,0,0,0
40185,0,0,0,0
40186,0,0,0,0
40187,0,0,0,0
40188,0,0,0,0
