OBJECTID;IDESTACION;CODIGOESTACION;DENOMINACION;CODIGOMUNICIPIO;CODIGOPOSTAL;DISTRITO;CORONATARIFARIA;X;Y;LINEAS
1;5_70;70;SAN CRISTÓBAL INDUSTRIAL;79;28021;17;A;440757;4465039;C-3, C-3a
2;5_69;69;SAN CRISTÓBAL DE LOS ANGELES;79;28021;17;A;442029;4466189;C-3, C-3a
3;5_85;85;VALDELASFUENTES;6;28100;1;B1;444704;4488934;C-4
4;5_84;84;UNIVERSIDAD P. COMILLAS;79;28790;8;B1;442254;4489687;C-4
5;5_15;15;CANTOBLANCO UNIVERSIDAD;79;28049;8;B1;440805;4488558;C-4
6;5_31;31;FUENCARRAL;79;28034;8;A;442293;4483859;C-4
7;5_3;3;ALCALÁ DE HENARES UNIVERSIDAD;5;28805;6;B3;471691;4484109;C-2, C-8
8;5_63;63;PUERTO NAVACERRADA;38;28470;1;C2;415334;4515518;C-9
10;5_45;45;MECO;83;28880;1;C1;474816;4487348;C-2, C-8
11;5_42;42;MAJADAHONDA;80;28221;2;B2;428452;4480950;C-10, C-7
12;5_13;13;BARRIAL-C.COM.POZUELO, EL;79;28023;9;B1;431631;4479932;C-10, C-7
13;5_44;44;MATAS, LAS;127;28290;1;B2;424176;4489678;C-10, C-3a, C-8
14;5_55;55;PINAR DE LAS ROZAS;127;28232;1;B2;425385;4486311;C-10, C-3a, C-8
15;5_68;68;ROZAS, LAS;127;28231;1;B2;426543;4483184;C-10, C-7
16;5_62;62;PUENTE ALCOCER;79;28041;17;A;440226;4467083;C-5
17;5_59;59;POZO, EL;79;28053;13;A;444402;4469894;C-2, C-7, C-8
18;5_87;87;VALLECAS;79;28031;13;A;447096;4470575;C-2, C-7, C-8
19;5_51;51;NUEVOS MINISTERIOS;79;28046;6;A;441398;4477767;C-1, C-10, C-2, C-3, C-3a, C-4, C-7, C-8
20;5_92;92;VILLAVERDE ALTO;79;28021;17;A;439643;4466082;C-4, C-5
21;5_72;72;SAN JOSÉ DE VALDERAS;7;28925;2;B1;430829;4467857;C-5
22;5_95;95;ZARZAQUEMADA;74;28919;5;B1;436553;4466066;C-5
23;5_65;65;RECOLETOS;79;28001;4;A;441504;4475190;C-1, C-10, C-2, C-7, C-8
24;5_26;26;DOCE DE OCTUBRE;79;28041;12;A;440807;4470261;C-5
25;5_106;106;GARENA, LA;5;28806;8;B3;466785;4481365;C-2, C-7, C-8
26;5_71;71;SAN FERNANDO;49;28823;4;B1;454836;4477235;C-2, C-7, C-8
27;5_16;16;CERCEDILLA;38;28470;1;C2;410110;4510379;C-8, C-9
28;5_11;11;ATOCHA;79;28007;2;A;441621;4473322;C-1, C-10, C-2, C-3, C-3a, C-4, C-5, C-7, C-8
31;5_82;82;TORRELODONES;152;28250;1;B3;419147;4492172;C-10, C-3a, C-8
34;5_104;104;HUMANES;73;28970;1;B3;429656;4456669;C-5
35;5_52;52;ORCASITAS;79;28041;12;A;440304;4468927;C-5
36;5_77;77;SERNA, LA;58;28941;6;B2;432757;4461200;C-5
37;5_36;36;GETAFE SECTOR 3;65;28906;1;B1;437436;4460219;C-4
38;5_43;43;MARGARITAS-UNIVERSIDAD, LAS;65;28903;2;B1;438314;4464074;C-4
39;5_93;93;VILLAVERDE BAJO;79;28021;17;A;442026;4467330;C-3, C-3a, C-4
40;5_91;91;VILLALBA;47;28400;1;B3;414849;4497977;C-10, C-3a, C-8
46;5_142;142;AEROPUERTO T4;79;28042;21;A;449828;4482718;C-1, C-10
48;5_18;18;CHAMARTÍN;79;28036;5;A;442257;4480589;C-1, C-10, C-2, C-3, C-3a, C-4, C-7, C-8
49;5_90;90;VICÁLVARO;79;28032;19;A;449540;4472679;C-2, C-7, C-8
51;5_30;30;FANJUL;79;28044;10;A;434873;4470831;C-5
52;5_40;40;LAGUNA;79;28047;10;A;436954;4472537;C-5
53;5_58;58;PITIS;79;28035;8;A;438601;4483172;C-3a, C-7, C-8
54;5_22;22;COSLADA;49;28821;1;B1;452508;4475148;C-2, C-7, C-8
55;5_41;41;LEGANES;74;28913;1;B1;434573;4464765;C-5
56;5_5;5;ALCORCÓN;7;28922;1;B1;429477;4467153;C-5
57;5_48;48;MÓSTOLES;92;28933;2;B2;426756;4464784;C-5
58;5_32;32;FUENLABRADA;58;28944;4;B2;432201;4459646;C-5
59;5_9;9;ARAVACA;79;28023;9;A;433469;4478023;C-10, C-7
60;5_24;24;CUATRO VIENTOS;79;28024;10;A;432926;4470188;C-5
61;5_25;25;DELICIAS;79;28045;2;A;441322;4472634;C-1, C-10
62;5_57;57;PIRÁMIDES;79;28005;2;A;439748;4472894;C-1, C-10
63;5_8;8;ARANJUEZ;13;28300;4;C1;447358;4432014;C-3, C-3a
64;5_19;19;CIEMPOZUELOS;40;28350;1;B3;448159;4445798;C-3, C-3a
65;5_86;86;VALDEMORO;161;28343;1;B3;443524;4449936;C-3, C-3a
