OBJECTID;IDESTACION;FECHAACTUAL;CODIGOESTACION;DENOMINACION;CODIGOEMPRESA;CODIGOMUNICIPIO;CODIGOPOSTAL;DISTRITO;CORONATARIFARIA;X;Y;LINEAS
1;6_1514;20190912;1514;OFELIA NIETO-FRANCOS RODRIGUEZ;1677;79;28039;9;A;439802;4479051;44, 128
2;6_1516;20190912;1516;DR.FEDERICO RUBIO-FCO.DIEGO;2399;79;28040;9;A;439532;4478792;44
3;6_1517;20190912;1517;DR.FEDERICO RUBIO Y GALI-AV.PABLO IGLESIAS;2397;79;28040;9;A;439579;4478530;44
4;6_1518;20190912;1518;DR.FEDERICO RUBIO-JERONIMA LLORENTE;1671;79;28039;6;A;439928;4478397;44, 127, N21
5;6_1519;20190912;1519;DR.FEDERICO RUBIO-ABEL;1669;79;28039;6;A;439938;4478216;44, 127
6;6_1522;20190912;1522;SAN FCO.DE SALES-GUZMAN EL BUENO;2393;79;28003;7;A;439623;4477308;44, N21
7;6_1527;20190912;1527;LAGO CALAFATE;2101;79;28018;13;A;444969;4470785;310
8;6_1528;20190912;1528;GTA.PTE.GARCIA MORENO;1413;79;28003;7;A;439473;4477679;45
9;6_1530;20190912;1530;AV.REINA VICTORIA-GRAL.I.IBERO;1415;79;28003;7;A;439827;4477777;45, C1, F
10;6_5430;20190912;5430;CALLE DE MIRABEL, 3;5215;79;28044;10;A;433789;4470000;N19
11;6_3534;20190912;3534;MARQUESADO STA.MARTA-FERNANDO MIJARES;3119;79;28027;20;A;447315;4477842;114, N4
12;6_3539;20190912;3539;STA.ENGRACIA-CARACAS;4675;79;28010;7;A;441012;4475985;3
13;6_3543;20190912;3543;AV.NIZA-LAS MUSAS;3409;79;28022;20;A;448562;4476153;38, E2
14;6_3545;20190912;3545;DR.GARCIA TAPIA-FTE.CARRANTONA;1327;79;28030;14;A;446485;4473434;30
15;6_3558;20190912;3558;AV.BETANZOS-CHANTADA;1501;79;28029;8;A;439782;4480761;42
16;6_3560;20190912;3560;INDALECIO PRIETO-LOS PINILLAS;1826;79;28032;19;A;447380;4472529;8, 71, 130
17;6_3561;20190912;3561;INDALECIO PRIETO-JUGLARES;1828;79;28032;19;A;447448;4472749;8, 71, 130
18;6_3565;20190912;3565;PZA.CORR.ALONSO AGUILAR;832;79;28030;14;A;444175;4473367;20
19;6_3566;20190912;3566;JUAN ESPLANDIU Nº 9;4361;79;28007;3;A;443907;4474597;215
