OBJECTID;IDESTACION;CODIGOESTACION;DENOMINACION;CODIGOMUNICIPIO;CODIGOPOSTAL;DISTRITO;CORONATARIFARIA;X;Y;LINEAS
1;8_12982;12982;CTRA.M533-URB.EL ALCOR;160;28210;1;C1;405845;4488920;666, 669A
7;8_12839;12839;CTRA.M506-AV.CANTUEÑA;58;28946;2;B2;435570;4458753;471
8;8_12840;12840;CTRA.M506-AV.CANTUEÑA;58;28946;4;B2;435401;4458738;471
9;8_11322;11322;AV.ARAGÓN-ALBACETE;65;28903;4;B1;439289;4462895;442
10;8_08794;8794;CTRA.POZUELO-URB.EL PAULAR;80;28220;2;B2;426563;4479730;561, 561A, 561B, N906
11;8_11324;11324;AV.REAL DE PINTO-LAGUNA DALGA;79;28021;17;A;439390;4464901;448
12;8_08754;8754;PºSAUCES-PºOLMOS;22;28668;1;B2;428532;4473102;566
13;8_11323;11323;AV.REAL DE PINTO-LA ACEBEDA;79;28021;17;A;439367;4464904;448
14;8_11401;11401;EDUARDO TORROJA-COLEGIO;65;28914;5;B1;437467;4464604;488
15;8_11412;11412;AV.CIUDADES-PARQUE;65;28903;4;B1;439675;4462857;442, N805
18;8_11715;11715;MADRID-EST.LAS MARGARITAS UNIVERSIDAD;65;28903;2;B1;438420;4464113;443
19;8_11719;11719;AV.MARÍA ZAMBRANO-GABRIELA MISTRAL;65;28903;2;B1;438729;4464386;443
20;8_12588;12588;PZA.FUENTE DE GOYA-EST.LOS ESPARTALES;65;28903;2;B1;438994;4464290;N805, N807
21;8_11723;11723;AV.RIGOBERTA MENCHÚ-CENTRO DE SALUD;65;28903;2;B1;439315;4464024;448, 488, N805
23;8_08250;8250;AV JUAN DE LA CIERVA-HOSPITAL DE SAN JOSE;65;28901;1;B1;438505;4462068;428
28;8_08257;8257;AV.JUAN CARLOS I-C.C.GETAFE 3;65;28905;3;B1;436862;4461269;441, 444, N801, N807
29;8_18854;18854;VELÁZQUEZ-JOAQUÍN TURINA;80;28222;2;B2;426526;4478093;567, 626, 655
37;8_09590;9590;MORERAS-LA BARRACA DE FEDERICO GªLORCA;13;28300;1;C1;449200;4432072;430
38;8_09591;9591;MORERAS-ANCHA;13;28300;1;C1;449368;4432069;423, 430
39;8_09592;9592;MORERAS-ANCHA;13;28300;1;C1;449370;4432054;430
40;8_09593;9593;MORERAS-PRIMERO DE MAYO;13;28300;1;C1;449542;4432037;430
42;8_09597;9597;MORERAS-COLEGIO;13;28300;1;C1;449836;4432008;430
45;8_12441;12441;MISTRAL-PºHONTANAR;115;28223;1;B1;432018;4473637;562, 564, 658, N902
46;8_07392;7392;MÁRTIRES-ESPINO;4;28607;1;C1;415728;4454312;528, 529, 539, 529A
47;8_12445;12445;SAN FRANCISCO-ESCUELAS;151;28180;2;C2;454518;4519732;197, 913, 197C
48;8_12448;12448;GRAMÍNEAS-LA GRANJILLA;134;28700;1;B2;449253;4491549;161
49;8_12449;12449;GRAMÍNEAS-LABRANZA;134;28700;1;B2;448861;4491733;161
50;8_07701;7701;MÓSTOLES-PºSANTIAGO DE COMPOSTELA;58;28942;7;B2;431169;4460896;526
51;8_18855;18855;VELÁZQUEZ-JOAQUÍN TURINA;80;28222;2;B2;426564;4478141;567, 626, 655
52;8_06197;6197;EMPEDRADA-REAL;176;28691;1;B3;414921;4478182;530, 581, 626, 627, 669
53;8_12460;12460;PEDRIZA-CEMENTERIO VIEJO;61;28260;1;B3;414780;4492767;630, 632, 634
54;8_06684;6684;CICLISTA DAVID GEA-POLIDEPORTIVO;92;28935;1;B2;424812;4464760;526
55;8_07391;7391;MÁRTIRES-LOS POCILLOS;4;28607;1;C1;415714;4454349;528, 529, 539, 529A
56;8_07750;7750;MÓSTOLES-DELICIAS;58;28944;4;B2;432421;4459751;526
57;8_12416;12416;PºPASTRANA-BOLARQUE;5;28803;2;B3;469082;4480300;231, 232, 260, 271, 272, 320
58;8_08172;8172;MÓSTOLES-POL.IND.VEREDA DEL TEMPRANAR;58;28942;6;B2;430754;4461228;526
59;8_08173;8173;MÓSTOLES-POL.IND.RESTAURANTE;58;28942;7;B2;430776;4461198;526
60;8_08176;8176;CTRA.M506-POL.IND.LA CARRERA;58;28942;6;B2;429722;4461866;526
62;8_12477;12477;INTERCAMBIADOR DE AVENIDA AMÉRICA;79;28002;5;A;442735;4476845;222, 223, 224, 226, 227, 229, 261, 281, 282, 283, 284, 224A, 243R1, 243R2, 243R3, 243R4, 243R6
63;8_12480;12480;EL VELLÓN-LA MINA;168;28722;1;C2;451288;4513420;191, 193, 197D
64;8_08177;8177;CTRA.M506-AV.CIUDAD JARDIN;58;28942;9;B2;429750;4461651;526
65;8_16284;16284;MOLINASECA-LEÓN;58;28947;4;B2;436379;4456661;462, 471
66;8_12777;12777;AV.DEPORTES-COMPLEJO DEPORTIVO;73;28970;1;B3;430261;4455770;471
67;8_12778;12778;AV.DEPORTES-COMPLEJO DEPORTIVO;73;28970;1;B3;430263;4455780;471
68;8_12780;12780;AV.DEPORTES-PZA.DE LA JUVENTUD;73;28970;1;B3;429985;4455802;471
