OBJECTID;IDESTACION;CODIGOESTACION;DENOMINACION;CODIGOMUNICIPIO;CODIGOPOSTAL;DISTRITO;CORONATARIFARIA;X;Y;LINEAS
1;10_50;50;PLAZA DE TOROS;106;28982;1;B2;435675;4455333;4
2;10_56;56;REYES CATOLICOS;106;28982;1;B2;434605;4453934;4
3;10_3;3;VIRGEN DEL CORTIJO;79;28050;16;A;444091;4482267;1
4;10_32;32;CANTABRIA;22;28660;1;B2;426752;4472198;3
5;10_36;36;SIGLO XXI;22;28660;1;B2;424366;4473314;3
6;10_26;26;JOSE ISBERT;115;28223;1;B1;433071;4472135;3
7;10_12;12;COLONIA DE LOS ANGELES;115;28223;1;B1;433552;4473458;2
8;10_21;21;AVENIDA DE EUROPA;115;28224;2;B1;432850;4477027;2
9;10_60;60;TIERRA NORTE;106;28983;1;B2;435952;4452872;4
10;10_63;63;VENUS SUR;106;28983;1;B2;435858;4453415;4
11;10_67;67;JAIME I SUR;106;28983;1;B2;436105;4454286;4
12;10_7;7;MARIA TUDOR;79;28050;16;A;444277;4483356;1
13;10_9;9;LAS TABLAS;79;28050;8;A;443402;4484592;1
14;10_10;10;COLONIA JARDIN;79;28024;10;A;434377;4472315;"2, 3"
15;10_14;14;SOMOSAGUAS SUR;115;28223;1;B1;432871;4474369;2
16;10_59;59;AVENIDA SISTEMA SOLAR;106;28983;1;B2;435387;4453041;4
17;10_61;61;TIERRA SUR;106;28983;1;B2;435724;4452940;4
18;10_62;62;VENUS NORTE;106;28983;1;B2;436088;4453350;4
19;10_39;39;COCHERAS;115;28223;1;B1;431891;4472326;3
20;10_65;65;ESTRELLA POLAR SUR;106;28983;1;B2;435980;4453845;4
21;10_64;64;ESTRELLA POLAR NORTE;106;28983;1;B2;436210;4453780;4
22;10_66;66;JAIME I NORTE;106;28983;1;B2;436335;4454222;4
23;10_68;68;POLIGONO INDUSTRIAL CIUDAD DE PARLA;106;28983;1;B2;436275;4454725;4
24;10_11;11;PRADO DE LA VEGA;115;28223;1;B1;433818;4472910;2
25;10_29;29;MONTEPRINCIPE;7;28925;1;B1;429181;4472467;3
26;10_30;30;VENTORRO DEL CANO;7;28925;1;B1;428981;4472056;3
27;10_31;31;PRADO DEL ESPINO;22;28660;1;B2;428165;4472154;3
28;10_33;33;FERIAL DE BOADILLA;22;28660;1;B2;425487;4472951;3
29;10_34;34;BOADILLA CENTRO;22;28660;1;B2;425437;4473526;3
30;10_35;35;NUEVO MUNDO;22;28660;1;B2;424950;4473365;3
31;10_37;37;INFANTE DON LUIS;22;28660;1;B2;423962;4473409;3
32;10_38;38;PUERTA DE BOADILLA;22;28660;1;B2;423423;4473617;3
33;10_52;52;LA BALLENA;106;28981;1;B2;434929;4455549;4
34;10_25;25;CIUDAD DE LA IMAGEN;115;28223;1;B1;433577;4472334;3
35;10_27;27;CIUDAD DEL CINE;115;28223;1;B1;432592;4472061;3
36;10_28;28;RETAMARES;115;28223;1;B1;430799;4472540;3
37;10_6;6;BLASCO IBAÑEZ;79;28050;16;A;444532;4482967;1
38;10_8;8;PALAS DE REY;79;28050;8;A;443760;4484278;1
39;10_13;13;PRADO DEL REY;115;28223;1;B1;433294;4473822;2
40;10_15;15;SOMOSAGUAS CENTRO;115;28223;1;B1;432348;4474818;2
41;10_16;16;POZUELO OESTE;115;28223;1;B1;431865;4475234;2
42;10_18;18;BELGICA;115;28223;1;B1;431612;4476070;2
43;10_19;19;DOS CASTILLAS;115;28223;1;B1;432117;4476282;2
44;10_20;20;CAMPUS DE SOMOSAGUAS;115;28223;2;B1;432658;4476371;2
45;10_22;22;BERNA;115;28224;2;B1;433013;4477643;2
46;10_51;51;JULIO ROMERO DE TORRES;106;28982;1;B2;435271;4455475;4
47;10_54;54;IGLESIA CENTRO;106;28981;1;B2;434561;4454633;4
48;10_55;55;BULEVAR SUR;106;28981;1;B2;434407;4454304;4
49;10_57;57;ISABEL II;106;28982;1;B2;435023;4453900;4
50;10_58;58;PARQUE PARLA ESTE;106;28983;1;B2;435327;4453567;4
51;10_4;4;ANTONIO SAURA;79;28050;16;A;444721;4482053;1
52;10_5;5;ALVAREZ DE VILLAAMIL;79;28050;16;A;444908;4482450;1
53;10_23;23;ESTACION DE ARAVACA;79;28023;9;A;433465;4478023;2
54;10_53;53;PARLA CENTRO - BULEVAR NORTE;106;28981;1;B2;434653;4454975;4
55;10_24;24;COLONIA JARDIN;79;28024;10;A;434382;4472315;"2, 3"
56;10_2;2;FUENTE DE LA MORA;79;28050;16;A;443897;4481988;1
57;10_1;1;PINAR DE CHAMARTIN;79;28033;15;A;443589;4481471;1
