OBJECTID;IDESTACION;CODIGOESTACION;DENOMINACION;CODIGOMUNICIPIO;CODIGOPOSTAL;DISTRITO;CORONATARIFARIA;X;Y;LINEAS
1;8_12867;12867;FUENTESAUCO-FONSECA;58;28944;4;B2;432502;4459070;4
2;8_12868;12868;FUENTESAUCO-FONSECA;58;28944;4;B2;432485;4459096;4
3;8_12869;12869;FUENTEVAQUEROS-HONTANAR;58;28944;4;B2;432681;4458882;4
4;8_12872;12872;NORIA-ERAS;58;28944;4;B2;432777;4459012;4
5;8_12873;12873;NORIA-HUMANES;58;28944;4;B2;432781;4458999;4
6;8_11488;11488;CºTORRE-LAGUNAS DE PERALES;65;28909;4;B1;443525;4462032;4
7;8_11487;11487;CºTORRE-LAGUNAS DE PERALES;65;28909;4;B1;443513;4462035;4
8;8_11723;11723;AV.RIGOBERTA MENCHÚ-CENTRO DE SALUD;65;28903;2;B1;439315;4464024;3
9;8_08257;8257;AV.JUAN CARLOS I-C.C.GETAFE 3;65;28905;3;B1;436862;4461269;1, 2
10;8_09628;9628;AV.PLAZA DE TOROS-FOSO;13;28300;2;C1;448931;4431234;3
11;8_09630;9630;FOSO-SAN PASCUAL;13;28300;2;C1;449065;4431564;3
12;8_09632;9632;CºNOBLEJAS-PARQUE POZO DE LA NIEVE;13;28300;2;C1;449249;4431348;3
13;8_09633;9633;CºNOBLEJAS-PARQUE POZO DE LA NIEVE;13;28300;2;C1;449259;4431359;3
14;8_09634;9634;NUEVA-PILAR;13;28300;2;C1;449434;4431164;3
15;8_09590;9590;MORERAS-LA BARRACA DE FEDERICO GªLORCA;13;28300;1;C1;449200;4432072;1
16;8_09591;9591;MORERAS-ANCHA;13;28300;1;C1;449368;4432069;1, 4
17;8_09592;9592;MORERAS-ANCHA;13;28300;1;C1;449370;4432054;1
18;8_09593;9593;MORERAS-PRIMERO DE MAYO;13;28300;1;C1;449542;4432037;1
19;8_09595;9595;PZA.DOCTOR GLEZ.BUENO-RESIDENCIA;13;28300;1;C1;449574;4432232;2
20;8_07750;7750;MÓSTOLES-DELICIAS;58;28944;4;B2;432421;4459751;1, 2, N5
21;8_12473;12473;PºDELEITE-FRESNO;13;28300;3;C1;447416;4430893;2, 3
22;8_12781;12781;ERAS-AV.MADRID;108;28723;1;C1;449145;4510700;1
23;8_12782;12782;VÍA COMPLUTENSE-BARRIO LEDESMA;5;28805;6;B3;470331;4482617;11
24;8_12783;12783;VÍA COMPLUTENSE-BARRIO LEDESMA;5;28805;6;B3;470352;4482599;11
25;8_12785;12785;VÍA COMPLUTENSE-TUY;5;28805;6;B3;470036;4482339;11
26;8_12788;12788;AV.AJALVIR-AMADEO VIVES;5;28806;8;B3;468040;4482356;11, 1B
27;8_12790;12790;BARCELONA-EST.LA SERNA;58;28945;3;B2;432788;4461147;3
28;8_12791;12791;AV.ESPAÑA-LEGANÉS;58;28945;3;B2;432879;4460848;N5
29;8_12792;12792;CORREDERA-LAS COLMENAS;45;28770;1;B3;434794;4502514;1
30;8_12769;12769;AV.ESPAÑA-SEVILLA;108;28723;1;C1;446390;4510174;1
31;8_12770;12770;SAN SEBASTIÁN-AV.SANTANDER;108;28723;1;C1;446767;4509659;1
32;8_12771;12771;BURGOS-TOLEDO;108;28723;1;C1;447405;4509574;1
33;8_12876;12876;AV.LEGANÉS-AV.BELLAS VISTAS;7;28922;2;B1;430066;4467336;2
34;8_12888;12888;DOCTOR FLEMING-DOCTOR CASTELO;161;28340;2;B3;442583;4449705;3, 7, SE
35;8_12889;12889;GUARDIA CIVIL-CENTRO RAMÓN ARECES;161;28340;2;B3;442368;4449911;3, 7, SE
36;8_12892;12892;PºE.TIERNO GALVÁN-PARQUE TIERNO GALVÁN;161;28341;1;B3;442543;4448871;2, 5, 6, SE
37;8_12896;12896;ALFONSO VII-RESIDENCIA DE MAYORES;5;28805;6;B3;469735;4484471;3, 7, 10
38;8_12897;12897;JOSÉ ORTEGA Y GASSET-CIUDAD 10;5;28805;4;B3;469951;4484650;3
39;8_12899;12899;J.RAMÓN JIMÉNEZ-JOSÉ ORTEGA Y GASSET;5;28805;6;B3;470171;4484590;3
40;8_12900;12900;J.RAMÓN JIMÉNEZ-OCHO DE MARZO;5;28805;6;B3;470151;4484416;3
41;8_12908;12908;NORIAS-JUZGADOS;80;28221;2;B2;426958;4480602;2
42;8_12636;12636;GABRIELA MISTRAL-AV.OCHO DE MARZO;58;28942;9;B2;429284;4461072;4
43;8_12681;12681;AV.JUAN CARLOS I-GTA.FELIPE IV;5;28806;3;B3;466512;4481565;11, 1B
44;8_12682;12682;AV.JUAN CARLOS I-EST.LA GARENA;5;28806;3;B3;466610;4481576;11, 1A
45;8_12683;12683;AV.JUAN CARLOS I-EST.LA GARENA;5;28806;3;B3;466688;4481657;11, 1B
46;8_12684;12684;AV.JUAN CARLOS I-AGUSTÍN DE BETHENCOURT;5;28806;8;B3;466847;4481693;11, 1A
47;8_12687;12687;AV.EUROPA-FEDERICO CHUECA;5;28806;3;B3;467526;4482111;11, 1B
48;8_12688;12688;AV.EUROPA-FEDERICO CHUECA;5;28806;3;B3;467531;4482091;11, 1A
49;8_12694;12694;AV.JUAN CARLOS I-C.C.ALCALÁ DE HENARES;5;28806;8;B3;466223;4481403;11
50;8_12910;12910;NORIAS-INSTITUTO;80;28220;2;B2;427550;4480524;2
51;8_16186;16186;ENCINAS-LOS ARCES;92;28935;1;B2;420586;4461966;5
52;8_11298;11298;SANTIAGO APOSTOL-SAN JOSÉ;14;28500;1;B3;462657;4461296;1
53;8_11301;11301;RONDA SUR-LA PERLITA;14;28500;1;B3;462170;4460917;2
54;8_11302;11302;SIETE VIENTOS-RAFAEL ALBERTI;14;28500;1;B3;462163;4461068;2
55;8_10488;10488;AV.ARAGÓN-PZA.ABOGADOS DE ATOCHA;134;28700;1;B1;446950;4490170;7
56;8_10446;10446;AV.ROSA LUXEMBURGO-AV.MIGUEL HDEZ.;134;28700;1;B1;446203;4490037;4, 7
57;8_10447;10447;AV.ROSA LUXEMBURGO-CALDERÓN DE LA BARCA;134;28700;1;B1;446236;4490044;4
58;8_12984;12984;AV.MAR MEDITERRÁNEO-ATENEA;161;28340;1;B3;441714;4448040;3
59;8_16461;16461;ANTONIO TAPIES-LUCIO MUÑOZ;113;28320;1;B2;440416;4455782;1
60;8_16384;16384;CTRA.FUENFRÍA-CENTRO DE INTERPRETACIÓN;38;28479;1;C2;409711;4512589;1
61;8_12705;12705;LOS FRESNOS-LOS ARCES;92;28935;1;B2;420641;4462622;5
62;8_12764;12764;CTRA.M627-GRANJA ESCUELA;108;28723;1;C1;448235;4513267;1
63;8_12765;12765;CTRA.M627-URB.ATALAYA REAL;108;28723;1;C1;448319;4512919;1
64;8_12768;12768;AV.OLIMPIADAS-POLIDEPORTIVO;108;28723;1;C1;446987;4510054;1
65;8_12635;12635;AV.PABLO IGLESIAS-AV.CIUDAD JARDÍN;58;28942;9;B2;429419;4461593;4
66;8_09817;9817;ARISTÓTELES-POLIDEPORTIVO;127;28230;1;B2;422577;4485323;1, 2
67;8_09820;9820;AV.ATENAS-C.C.ZOCO MONTERROZAS;127;28230;1;B2;421874;4485808;2
68;8_09826;9826;AV.ATENAS-URB.EL PINAR;127;28230;1;B2;423173;4487379;2
69;8_09750;9750;AV.ALCALÁ DE HENARES-URB.LOS VILLARES;14;28500;1;B3;461984;4462577;1
70;8_09751;9751;AV.ALCALÁ DE HENARES-URB.LOS VILLARES;14;28500;1;B3;461946;4462572;1
71;8_12848;12848;FERROCARRIL-LOPE DE VEGA;65;28904;3;B1;437605;4462079;1, 6
72;8_12857;12857;ALAMEDA BAJA-PºCARRIZAL;903;28760;1;B2;441873;4496135;3
73;8_12861;12861;PºANDES-PºCARRIZAL;903;28760;1;B2;441982;4495683;3
74;8_16398;16398;CTA.VALDERREMATA-TANATORIO;161;28340;1;B3;443417;4449301;6
75;8_10854;10854;SAN JUAN DE LA CRUZ-LOPE DE VEGA;115;28223;1;B1;430757;4476017;1
