"Celda","Suelo Comercial","Suelo Industrial","Tipo Suelo"
14166,1,0,1
14167,1,0,1
14667,1,0,1
17149,1,0,1
17649,1,0,1
17650,1,0,1
18148,1,0,1
18149,1,0,1
18150,1,0,1
18170,1,0,1
18648,1,0,1
18649,1,0,1
18650,1,0,1
19149,1,0,1
19151,0,0,0
19169,1,0,1
21164,1,0,1
21663,1,-1,0
21664,1,0,1
21665,1,0,1
22163,1,0,1
22164,1,0,1
22663,1,0,1
22664,1,0,1
22665,1,0,1
23163,1,0,1
23164,1,0,1
23663,1,0,1
23664,1,0,1
23665,1,0,1
24165,1,0,1
24169,0,0,0
26201,0,0,0
27660,0,0,0
27687,0,-1,-1
27688,1,0,1
28186,1,-1,0
28187,1,-1,0
28188,1,0,1
28189,1,0,1
28687,1,0,1
28688,1,0,1
28689,1,0,1
28690,1,0,1
29186,1,0,1
29187,1,0,1
29188,1,0,1
29189,1,0,1
29191,1,0,1
29669,0,-1,-1
29686,1,0,1
29687,1,0,1
29688,1,0,1
29689,1,0,1
29690,1,0,1
29694,0,0,0
30187,1,0,1
30188,1,0,1
30189,1,0,1
30669,0,0,0
30686,1,0,1
30687,1,0,1
30688,1,0,1
30689,0,0,0
30690,0,0,0
30699,0,0,0
31669,0,0,0
31686,0,0,0
31703,0,0,0
32199,1,0,1
32202,0,0,0
32204,0,0,0
32205,0,0,0
32686,0,0,0
33186,0,0,0
33199,1,0,1
33699,1,0,1
35699,0,0,0
36654,1,0,1
36657,1,0,1
36658,0,0,0
36659,0,0,0
36697,1,0,1
37154,1,0,1
37155,1,0,1
37655,1,0,1
37691,0,0,0
38150,1,0,1
38154,1,0,1
38685,1,0,1
38688,1,0,1
38689,1,0,1
38690,1,0,1
38692,1,0,1
39150,0,0,0
39152,1,0,1
39153,1,0,1
39186,1,0,1
39187,1,0,1
39188,1,0,1
39189,1,0,1
39687,1,0,1
39688,1,0,1
39691,1,0,1
40185,1,0,1
40186,1,0,1
40187,1,0,1
40188,1,0,1
40685,1,0,1
40686,1,0,1
40687,1,0,1
40688,1,0,1
41186,1,0,1
41187,1,0,1
41686,1,0,1
41687,1,0,1
41688,1,0,1
42186,1,0,1
42188,1,0,1
42189,1,0,1
43654,1,0,1
43656,1,0,1
43689,1,0,1
44154,1,0,1
44156,1,0,1
44653,1,0,1
44654,1,0,1
44655,1,0,1
44656,1,0,1
44657,1,0,1
45153,1,0,1
45154,1,0,1
45155,1,0,1
45156,1,0,1
45246,1,0,1
45652,1,0,1
45653,1,0,1
45654,1,0,1
45655,1,0,1
45656,0,0,0
45745,1,0,1
45746,1,0,1
46153,1,0,1
46154,1,0,1
46245,1,0,1
46246,1,0,1
46652,1,0,1
46745,1,0,1
46746,1,0,1
46747,1,0,1
47245,1,0,1
47246,1,0,1
47690,1,0,1
47745,1,0,1
49187,1,0,1
49188,1,0,1
49788,1,0,1
50769,1,0,1
51202,0,0,0
51266,1,0,1
51267,1,0,1
51268,1,0,1
51269,1,0,1
51703,0,0,0
51751,1,0,1
51768,1,0,1
51776,1,0,1
51777,0,0,0
52245,1,0,1
52247,1,0,1
52248,1,0,1
52250,1,0,1
52748,1,0,1
52750,1,0,1
52777,1,0,1
52779,1,0,1
53196,1,0,1
53197,1,0,1
53198,1,0,1
53204,0,0,0
53247,1,0,1
53662,0,0,0
53695,1,0,1
53696,1,0,1
53697,1,0,1
53703,0,0,0
53746,1,0,1
53747,1,0,1
53749,1,0,1
53750,1,0,1
54166,1,0,1
54196,1,-1,0
54197,1,0,1
54198,0,0,0
54214,0,0,0
54247,1,0,1
54249,1,0,1
54667,1,0,1
54668,1,0,1
54696,1,-1,0
54697,1,-1,0
55164,0,0,0
55196,0,-1,-1
55197,0,0,0
55241,1,0,1
55696,0,0,0
55740,1,0,1
55741,1,0,1
55742,1,0,1
55743,1,0,1
55745,1,0,1
55746,1,0,1
56168,1,0,1
56239,1,0,1
56240,1,0,1
56241,1,0,1
56242,1,0,1
56243,1,0,1
56739,1,0,1
56741,1,0,1
56742,1,0,1
56744,1,0,1
57241,1,0,1
57242,1,0,1
57243,1,0,1
57245,1,0,1
57746,1,0,1
58694,0,0,0
58695,0,0,0
59165,0,0,0
59195,0,0,0
59669,0,-1,-1
59693,1,0,1
59694,1,0,1
59695,1,0,1
60192,1,0,1
60193,1,0,1
60194,1,0,1
60195,1,0,1
60693,1,0,1
60694,1,0,1
60695,1,0,1
60696,0,0,0
60709,0,0,0
60772,1,0,1
61172,1,0,1
61173,1,0,1
61194,1,0,1
61195,1,0,1
61271,1,0,1
61272,1,0,1
61669,1,0,1
61671,1,0,1
61672,1,0,1
61673,1,0,1
61701,1,0,1
61771,1,0,1
62172,1,0,1
62173,1,0,1
62200,1,0,1
62208,1,-1,0
62210,1,0,1
62211,1,0,1
62212,1,0,1
62669,1,0,1
62671,1,0,1
62672,1,0,1
62673,0,0,0
62708,1,0,1
62709,1,0,1
62710,1,0,1
62711,1,0,1
62712,1,0,1
62713,0,0,0
63169,1,0,1
63170,1,0,1
63171,1,0,1
63209,1,0,1
63212,1,0,1
63670,1,0,1
63671,1,0,1
64760,1,0,1
65196,0,0,0
65260,1,-1,0
65261,0,0,0
65716,1,0,1
65760,1,0,1
66215,1,0,1
66227,0,0,0
66260,0,0,0
66735,1,0,1
66736,1,0,1
66737,1,0,1
66757,1,-1,0
67236,1,0,1
67237,1,0,1
67734,1,0,1
67737,1,0,1
67757,1,0,1
67758,0,0,0
68237,1,0,1
68257,1,-1,0
68275,1,-1,0
68738,0,0,0
68756,1,-1,0
68757,1,0,1
68758,0,0,0
68774,1,0,1
68776,1,0,1
69257,1,0,1
69278,1,-1,0
69280,0,0,0
69296,0,0,0
69751,0,0,0
69775,1,0,1
69776,1,0,1
69778,1,0,1
69779,1,0,1
70256,0,0,0
70257,0,0,0
70276,1,0,1
70277,1,0,1
70278,1,0,1
70279,1,0,1
70297,0,0,0
70776,1,0,1
70777,1,0,1
70778,1,0,1
70779,1,0,1
71277,1,0,1
71278,1,0,1
71279,1,0,1
71280,1,0,1
71664,0,0,0
71777,1,0,1
71778,1,0,1
71779,1,0,1
71780,1,0,1
71781,0,0,0
72276,1,0,1
72277,1,0,1
72278,1,0,1
72279,1,0,1
72280,1,0,1
72323,0,0,0
72775,1,0,1
72776,1,0,1
72777,1,0,1
72778,1,0,1
72779,1,0,1
72780,1,0,1
72781,1,0,1
72782,1,0,1
73178,1,0,1
73180,1,-1,0
73272,1,0,1
73274,1,-1,0
73275,1,-1,0
73276,1,0,1
73277,1,0,1
73279,1,-1,0
73280,1,-1,0
73281,1,0,1
73282,1,0,1
73283,1,0,1
73678,1,0,1
73679,1,0,1
73680,1,-1,0
73681,1,-1,0
73727,1,0,1
73772,1,0,1
73773,1,0,1
73774,1,0,1
73775,1,0,1
73776,1,-1,0
73778,1,0,1
73779,1,-1,0
73780,1,-1,0
73781,1,-1,0
73782,1,0,1
74164,0,0,0
74179,1,0,1
74180,1,0,1
74182,1,0,1
74228,1,0,1
74229,1,0,1
74272,1,-1,0
